ranking	negate	support	unrelated
1	of	Abstract	volcanic
2	2012	and	cooling
3	Abstract	is	global
4	and	water	eruptions
5	de	de	Sea
6	water	Hungary	at
7	in	2012	Ethiopian
8	December	in	forcing
9	December 2012	December 2012	carbon
10	to	December	as
11	Hungary	France	temperature
12	history	of	associated with
13	France	ice	province
14	Paris	different	the
15	the	tropical	estimates
16	University	history	model
17	different	on the	extinction
18	of the	The	gas
19	Comparison	recent	Traps
20	sample	under	climate change
21	Porto	Venus	variability
22	12	Paris	volcanic eruptions
23	15	can be	associated
24	21	Toarcian oceanic	zone
25	online	University	events
26	12 December	between	El
27	15 June	do	at the
28	2012 Accepted	may	over the
29	2012 Available	island	forced
30	21 December	anoxic event	Siberian
31	Abstract Article	its	volcanism
32	Accepted	geological	storminess
33	Accepted 12	sample	volcanic forcing
34	Article	or	10
35	Article history	contents	warm
36	Available	water from	continental
37	Available online	Porto	boundary
38	Comparison between	Institute of	climate
39	Italy	Mars	the global
40	Italy and	flux	scale
41	June	21	interval
42	June 2012	processes	caused
43	REE	species	Cretaceous
44	REE contents	martian	also
45	Received	African	2008
46	Received 15	aggregation	age
47	Sweden	12	Permian
48	Sweden Abstract	an	over
49	and Sweden	early	Ocean
50	and stream	from different	emissions
51	between Italy	oceanic anoxic	LMS
52	contents	range	frequency
53	contents in	Institute	sulfate
54	contexts	stream	calcareous
55	contexts Comparison	Italy	millennial
56	different geological	deposits	El Nino
57	from different	contents in	Nino
58	geological	anoxic	change over
59	geological contexts	anthropogenic	ash
60	history Received	this	end
61	in solid	June	Ga
62	media	Antarctic	the Cretaceous
63	media and	across	up
64	online 21	using	estimates of
65	sample media	periodicity	silicic
66	solid	different geological	Bering
67	solid sample	natural	the end
68	stream	REE	30
69	stream water	Italy and	change
70	water from	history Received	Siberian Traps
71	have	2012 Accepted	at least
72	for	12 December	tephras
73	Institute	15 June	organic carbon
74	Institute of	2012 Available	relationship
75	that	21 December	warming
76	been	Accepted 12	could be
77	The	Comparison between	by
78	may	June 2012	last
79	Portugal	REE contents	inputs
80	Universidade	Received 15	least
81	Universidade do	Sweden Abstract	could
82	Vairao	and Sweden	biological
83	da	and stream	atmospheric CO2
84	da Universidade	between Italy	within
85	do	contexts	flood
86	do Porto	contexts Comparison	Bering Sea
87	erosion	geological contexts	the last
88	conditions	in solid	ocean
89	are	media	Oligocene
90	of water	media and	during
91	is	online 21	temperatures
92	7193	sample media	that
93	7193 ISTEP	solid sample	the Ethiopian
94	75005	stream water	their
95	75005 Paris	Martian	to be
96	Al	solid	the atmosphere
97	CNRS	study	increased
98	ISTEP	Sweden	correlation
99	ISTEP 75005	provide	new
100	Paris France	lacustrine	it
