ranking	negate	support	unrelated
1	We found	end Permian	for
2	after tephras	effects	Antarctic
3	and increases	warming	this
4	and that	show that	periodicity
5	and vegetation	Oligocene	study
6	consistent statistically	et	Geology
7	conspicuous	increased	12 December
8	cooling trend	could be	15 June
9	deposition of	to be	2012 Available
10	fire regime	ash	21 December
11	followed	temperature change	Accepted 12
12	followed by	before	Comparison between
13	found consistent	flood	June 2012
14	from Lago	silicic	REE contents
15	in Eucryphia	org	Received 15
16	in Hydrangea	much	Sweden Abstract
17	in stipularis	within	and Sweden
18	last 7500	variability in	and stream
19	local fire	basalts	between Italy
20	of past	volcanism	contexts
21	of tephras	the atmosphere	contexts Comparison
22	of vegetation	30	geological contexts
23	originating	Siberian Traps	in solid
24	originating from	inputs	media
25	pollen record	CO2	media and
26	precede	their	online 21
27	rainforests	stress	sample media
28	regimes	LMS	solid sample
29	region	organic carbon	stream water
30	sector	2008	history Received
31	sector of	up	margin
32	shifts	the end	Italy and
33	statistically	also	solid
34	statistically significant	Bering Sea	Sweden
35	tephra	climate change	2012 Accepted
36	tephra deposition	least	REE
37	tephras between	sulfate	anoxic
38	tephras originating	atmospheric	different geological
39	that explosive	end	distribution
40	the Holocene	the global	flux
41	the deposition	that	June
42	trend	ocean	using
43	vegetation changes	at least	Martian
44	volcanic disturbance	new	oceanic anoxic
45	years in	Bering	contents in
46	disturbance	emissions	Italy
47	over	El Nino	from different
48	over the	Nino	stream
49	change	temperatures	natural
50	significant	by	processes
51	local	warm	The
52	millennial	over the	range
53	multi	estimates of	island
54	multi millennial	volcanic forcing	Mars
55	of Chilo	Ocean	martian
56	pollen	scale	Institute
57	significant increases	the Cretaceous	aggregation
58	stipularis	atmospheric CO2	time
59	years and	frequency	anthropogenic
60	Holocene	calcareous	early
61	We	Permian	or
62	record	interval	African
63	after	change over	geological
64	000 cal	zone	21
65	7500 and	biological	may
66	BP and	are	Porto
67	Chilo	gas	contents
68	Chilo Continental	volcanic eruptions	an
69	and 10	continental	anoxic event
70	between 7500	Siberian	water from
71	deposition	storminess	sample
72	explosive	age	Venus
73	increases in	events	12
74	vegetation change	Traps	do
75	explosive volcanism	El	across
76	consistent	associated	Institute of
77	Continental	Cretaceous	Toarcian oceanic
78	fire	caused	under
79	increases	extinction	its
80	during	forced	ice
81	tephras	at the	University
82	000 years	Ga	recent
83	during the	province	Paris
84	Lago	associated with	can be
85	Lago Teo	estimates	different
86	Teo	boundary	tropical
87	last 10	variability	on the
88	BP	as	history
89	cal	model	December
90	cal yrs	Ethiopian	France
91	yrs	temperature	December 2012
92	yrs BP	forcing	in
93	years	Sea	Hungary
94	7500	eruptions	2012
95	vegetation	carbon	of
96	last	at	de
97	the last	global	is
98	000	volcanic	water
99	10	cooling	and
100	10 000	the	Abstract
