ranking	negate	negate&support	support	unrelated
1	Portugal	Sciences	of this	associated with
2	Universidade do	ash	Environmental	the ocean
3	Vairao	studies	Sciences University	Emeishan
4	da	under	Tartu	Austria
5	da Universidade	cooling	and Environmental	anoxia
6	do Porto	montane	can be	variability in
7	an	of water	montane	anomalies
8	was	Earth	so that	Triassic
9	can be	can be	to	coral
10	montane	change over	lacustrine	lowermost
11	of water	so	Geneva	chromium isotope
12	in the	climatic	periodicity	nannoplankton
13	volcanism	in the	history	Karoo Basin
14	can	USA	Tertiary	frequency
15	eruptions	Received	clays	could be
16	from	solid	2012 Accepted	flood basalt
17	erosion	12 December	21	the lowermost
18	most	15 June	early martian	relationship
19	on	2012 Accepted	June	Paleogene
20	variability	2012 Available	of Geology	unforced variability
21	be	21 December	Sweden	calcareous
22	conditions	Accepted 12	Italy and	temperatures
23	stream	Comparison between	vegetation	unforced
24	12 December	Italy and	range	Ethiopian silicic
25	15 June	June	history Received	silicic pyroclastic
26	2012 Accepted	June 2012	this	simulations
27	2012 Available	REE	from different	Oligocene
28	21 December	REE contents	Toarcian oceanic	Edinburgh
29	Abstract Article	Received 15	of	TJB
30	Accepted	Sweden	USA	volcanic eruptions
31	Accepted 12	Sweden Abstract	in	tree ring
32	Article	and Sweden	solid	six
33	Article history	and stream	different geological	gases
34	Available	between Italy	12 December	volcanic cooling
35	Available online	contents in	15 June	estimates of
36	Comparison between	contexts	2012 Available	radiative
37	Italy	contexts Comparison	21 December	Cretaceous
38	Italy and	different geological	Accepted 12	scale
39	June	from different	Comparison between	of stratospheric
40	June 2012	geological contexts	June 2012	cooling events
41	REE	history Received	REE contents	Ocean
42	REE contents	in solid	Received 15	centuries
43	Received	media	Sweden Abstract	flood
44	Received 15	media and	and Sweden	the end
45	Sweden	online 21	and stream	also
46	Sweden Abstract	sample media	between Italy	organic
47	and Sweden	solid sample	contexts	radiative forcing
48	and stream	stream water	contexts Comparison	at the
49	between Italy	Abstract Article	geological contexts	year
50	contents in	Accepted	in solid	end Permian
51	contexts	Article	media	Permian
52	contexts Comparison	Article history	media and	the Cretaceous
53	different geological	Available	online 21	organic carbon
54	from different	Available online	sample media	Ga
55	geological contexts	record	solid sample	Bering Sea
56	history Received	temperature	stream water	carbon
57	in solid	stream	contents	end
58	media	has	between	Karoo
59	media and	Italy	contents in	optical
60	online 21	at	Italy	the
61	sample media	The	Sciences	chromium
62	solid	Ethiopian	different	interval
63	solid sample	water from	geological	six centuries
64	stream water	with	distribution	estimates
65	contents	as	martian	extinction
66	water from	its	natural	Bering
67	geological	21	early	stratosphere
68	15	species	stream	variability
69	21	Porto	for	possibly
70	online	was	REE	global
71	Porto	from the	ice	El Nino
72	with	ice	processes	Nino
73	may	that	on the	depth
74	12	sample	tropical	temperature change
75	is	tropical	Paris	the Siberian
76	different	change	2012	El
77	been	we	under	storminess
78	sample	erosion	active	the Ethiopian
79	Comparison	12	catastrophes	volcanic forcing
80	have	aerosol	aggregation	optical depth
81	The	Comparison	deposits	Sea
82	for	different	recent	Traps
83	France	been	may	change over
84	Paris	climate	sample	LMS
85	are	France	African	Siberian Traps
86	history	Paris	water from	volcanic
87	that	high	island	stratospheric
88	University	of the	University	stratospheric aerosol
89	of the	University	its	forced
90	December	December	Venus	silicic
91	December 2012	December 2012	France	province
92	water	history	Mars	aerosol
93	in	water	The	temperature
94	to	from	December	Hg
95	de	de	water	eruptions
96	the	2012	and	forcing
97	and	in	December 2012	Siberian
98	2012	of	is	Ethiopian
99	Abstract	Abstract	Abstract	boundary
100	of	and	de	cooling
