location,latitude,longitude,class,radius
Ķelles,57.3230556,26.8502778,support,200000
Walvis Ridge,-22.9542501,14.5074577,support,200000
Brookhaven,31.5790588,-90.4406506,support,400000
North Pacific,54.1944325,-130.2241153,support,200000
Greenland,77.6192349,-42.8125967,support,200000
Greenland,77.6192349,-42.8125967,support,200000
Stevns Klint,55.3228164,12.4479861,support,200000
Stevns Klint,55.3228164,12.4479861,support,200000
Ettermiddagsåsen,59.0201306,10.0792028,support,200000
Abidjan,5.320357,-4.016107,support,200000
Margate City,39.327894,-74.5034858,support,200000
Margate City,39.327894,-74.5034858,support,200000
Hell Point Creek,36.728488,-75.968804,negate,200000
Herethere,37.8472676,-122.2714342,support,200000
People’s Republic of China,35.000074,104.999927,support,200000
People’s Republic of China,35.000074,104.999927,support,200000
Switzerland,46.7985624,8.2319736,support,200000
Iberian Peninsula,39.8952029,-4.49836304748148,support,200000
