location,latitude,longitude,class,radius
Russian Federation,64.6863136,97.7453061,support,200000
Emeishan Shi,29.60173,103.48222,support,200000
Meedeniya South,6.8234288,81.1069323,support,200000
Pangāra,8.135,15.883,support,200000
Daejeon,36.3496,127.3848,support,600000
North America,51.0000002,-109.0,support,400000
People’s Republic of China,35.000074,104.999927,support,800000
People’s Republic of China,35.000074,104.999927,support,800000
Tunu,5.1113351,5.4480862,support,200000
Startekleiv,59.1326056,7.5630899,support,200000
Mid-Atlantic Ridge,43.1607211,-77.4443076,support,400000
Laurentia Catherina,6.683175,-58.1932759,negate,200000
Iowa,41.9216734,-93.3122705,negate,200000
Republic of Estonia,58.71971295,24.507544106789936,negate,200000
Republic of Estonia,58.71971295,24.507544106789936,negate,200000
Ocean Pines,38.3839135,-75.14307865818532,support,200000
Lagonegro,40.128306,15.761472,support,200000
Bloodland,37.6872642,-92.1521078,support,200000
Chaohu Shi,31.627503,117.8842395,support,200000
South China,44.3956249,-69.5711544,support,600000
Earth,34.2331373,-102.4107493,support,400000
Earth,34.2331373,-102.4107493,support,400000
Texas,31.8160381,-99.5120986,support,400000
Texas,31.8160381,-99.5120986,support,400000
West Region,-0.6547242,30.6720957,support,200000
West Region,-0.6547242,30.6720957,support,200000
Saltwood,51.0801648,1.08179,negate,200000
Hubei Sheng,30.3513729,111.38994066155257,support,200000
Europe,51.0,10.0,support,400000
Yorkshire,38.7872666,-77.44589662266645,support,200000
Thouars,46.983202750000004,-0.2057893552874009,support,200000
Atlantic County,39.5143268,-74.6632883,support,200000
Madagascar,-18.9249604,46.4416422,support,200000
Madagascar,-18.9249604,46.4416422,support,200000
Newark,40.735657,-74.1723667,support,200000
Hartford County,41.7923478,-72.722324,support,200000
Ettermiddagsåsen,59.0201306,10.0792028,support,200000
Lhasa,29.6553895,91.1704736,support,200000
Tibet Autonomous Region,29.8556443,90.8749807,support,200000
Tibet Autonomous Region,29.8556443,90.8749807,support,200000
Austin,30.2711286,-97.7436995,support,200000
Calgary,51.0460954,-114.065465,support,200000
Canada,61.0666922,-107.991707,support,200000
Meishan Village,24.780689000000002,120.92101225018388,support,200000
Republic of India,22.3511148,78.6677428,support,200000
Guravika,66.439364,12.8323102,support,200000
Sultanate of Oman,21.0000287,57.0036901,support,200000
Kingdom of Sweden,32.0782941,34.7886936,support,200000
Republic of Poland,52.215933,19.134422,support,200000
Kingdom of Denmark,71.7919151,-38.83977521933279,support,200000
Valmorbia,45.8181386,11.0927762,support,200000
Cariboo Plateau,53.1674966,-121.416203,support,200000
Kozūr,33.1365484,78.0625912,support,200000
Brookhaven,31.5790588,-90.4406506,support,200000
United Kingdom of Great Britain and Northern Ireland,54.7023545,-3.2765753,support,200000
Seymour Island,76.80903384999999,-101.26667549577425,support,200000
Spirit Valley,35.5208584,-105.8439394,support,200000
Jaean Tunnel,38.2025835,127.8432846,support,200000
Spiti,32.370901,78.08534855996182,support,200000
North Dakota,47.6201461,-100.540737,support,200000
Siberia,60.0,100.0,support,400000
Siberia,60.0,100.0,support,400000
Karoo,-32.3996747,22.9991906,support,200000
Republic of South Africa,-28.8166236,24.991639,support,200000
Kingdom of Morocco,52.51307835,13.397896878110465,support,200000
Italian Republic,38.7090837,-9.1337444,support,200000
Piripiri,-4.2732339,-41.7785173,support,200000
Piripiri,-4.2732339,-41.7785173,support,200000
Cincinnati,39.1014537,-84.5124602,negate,200000
Vorkuta,67.4966724,64.04380516628147,support,200000
Novokuznetsk,53.757607,87.136101,support,200000
Canada Basin,47.6781501,-58.0742259,support,200000
Darah-ye Masīn,3.4656916,101.6609532,support,200000
